Owned By Check,Owned Name,Postal,Unique ID,Notes,House Name,MLO/SHELL/IPL,Shell Name,MLO Name,Rental/Mortgage,Downpayment,Total Value or Daily Rent Price,Current Mortgage Remaining,Last Login Date,Property Tax Missed,TBX Only,TBX Cost,Numb,Personal Garage,Shell Yard,Storage Count,Buisness lookup
P23492LV,Sarah Vance,9052,15022.0,,Strawberry Olympic Fwy 958,shell,"""stashhouse2_shell""",,Sale,"$3,000.00","$60,000.00","$53,188.00",9/11/2025 22:15:41,0,False,,,❌,❌,20,
I3L679NA,tray varlack,9075 A,15034.0,,9075 Forum Drive A,mlo,,,Sale,"$21,000.00","$420,000.00",PAID OFF,9/15/2025 12:00:12,0,False,,,❌,❌,10,
,,9158,15041.0,,Rancho Roy Lowenstein Blvd 279,mlo,,,Sale,"$17,500.00","$350,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
MJM0SD00,Vito Andretti,5004,15177.0,,5004 Ammunation,mlo,,,Rent,$0.00,"$4,500.00",RENTAL PROPERTY,9/16/2025 3:01:22,0,False,,,❌,❌,20,ammunation_5004
,,8116,15301.0,,8116 House A,mlo,,,Rent,$0.00,"$3,500.00",AVAILABLE,AVAILABLE,0,True,$10/month,$10,❌,❌,20,
,,9330,15354.0,,9330 Gas & Chill,shell,"""shell_warehouse3""",,Rent,$0.00,"$4,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,gas_9330
,,3045,15419.0,Bottom floor door is to remain unlocked - Sam,3045 Clubhouse,mlo,,3045_YLiquor,Rent,$0.00,"$4,150.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,128,bar_3045
L0443D5F,Quinn Jones,3002,15422.0,<--- Requires a Bar Card,Soony Badman 3002 Office,mlo,,,Rent,$0.00,"$3,100.00",RENTAL PROPERTY,9/16/2025 7:37:53,0,False,,,❌,❌,20,
AFF96470,David Omalley,3053,15584.0,,3053 Shipping Container,shell,"""container_shell""",,Sale,"$2,250.00","$45,000.00",PAID OFF,9/16/2025 5:45:17,0,False,,,❌,❌,10,
,,780,15702.0,,780 Roxwood D,mlo,,,Rent,$0.00,"$4,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,9279,15939.0,,9279 Warehouse B,shell,"""shell_warehouse1""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,15,
T34HYG32,Yuri Orlov,9279,16100.0,,9279 Warehouse A,shell,"""shell_warehouse1""",,Rent,$0.00,"$2,000.00",RENTAL PROPERTY,9/14/2025 6:13:08,0,False,,,❌,❌,15,
KGA93X07,Joesph Goldburg,1046,16138.0,,1046 Pipe Down,mlo,,hn_cigar_bar_paleto,Rent,$0.00,"$1,500.00",RENTAL PROPERTY,9/16/2025 3:17:15,0,False,,,❌,❌,5,smoke_1046
Y43ML7N7,Conner Donnelly,Pink,16166.0,,Pink Cage Rm#2B,mlo,,,Rent,$0.00,$900.00,RENTAL PROPERTY,9/15/2025 23:51:21,0,False,,,❌,❌,5,
Y43ML7N7,Conner Donnelly,Pink,16290.0,,Pink Cage Rm#2C,mlo,,,Rent,$0.00,$900.00,RENTAL PROPERTY,9/15/2025 23:51:21,0,False,,,❌,❌,5,
QXSS3TZ3,John Walker,9011,16353.0,,9011 Dock Shack,shell,"""shell_trailer""",,Sale,"$4,000.00","$80,000.00",PAID OFF,9/16/2025 0:56:06,0,False,,,❌,❌,20,
ADFTZUH8,Maya Watson,3005,16366.0,,3005 Armadillo Ave,shell,"""medium_housing1_k4mb1""",,Sale,"$5,000.00","$100,000.00",PAID OFF,8/24/2025 23:30:51,0,False,,,❌,❌,20,
B7RKW002,Jay Smith,9271,16386.0,,9271 Warehouse,shell,"""shell_warehouse2""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/16/2025 6:00:06,0,False,,,❌,❌,25,
,,5009,16613.0,NOT FOR SALE!!!!!,5009 Buen Vino Road Not Vineyard,shell,"""shell_v16low""",,Sale,"$8,700.00","$174,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
ADJ8C6AD,luca diaz,8130,16620.0,,8130 House A,mlo,,,Rent,$0.00,"$3,500.00",RENTAL PROPERTY,9/16/2025 0:34:37,0,True,$10/month,$10,❌,❌,20,
HEMZADXW,Finn Scorpion,1051,59192.0,,Paleto Bay Procopio Dr 870,shell,"""furnitured_midapart""",,Sale,"$15,000.00","$300,000.00",PAID OFF,9/16/2025 2:24:46,0,False,,,❌,❌,20,
,,Cayo,16671.0,,Cayo Perico Mansion,mlo,,,Rent,$0.00,"$14,000.00",AVAILABLE,AVAILABLE,0,True,100$/month,$100,❌,❌,20,
N864Q1W5,Tiffany Chanel,4003,16804.0,,4003 Warehouse 3,shell,"""shell_garagel""",,Sale,"$7,505.00","$60,000.00",PAID OFF,9/16/2025 7:25:12,0,False,,,❌,❌,10,
,,Del,16871.0,,del perro heights #101,shell,"""k4_hotel2_shell""",,Rent,$0.00,"$1,700.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
V2PBQNO1,Ghoul Gravewood,8222,16877.0,,8222 Magellan Ave,shell,"""shell_trevor""",,Sale,"$5,500.00","$110,000.00","$78,114.00",9/16/2025 2:53:43,0,False,,,❌,❌,20,
,,1024,16896.0,,1024 Unit 1,shell,"""k4_motel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,782,16923.0,,782 Roxwood A,shell,"""default_housing1_k4mb1""",,Rent,$0.00,"$2,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,7023,16979.0,,7023 Apartment F,shell,"""default_housing5_k4mb1""",,Sale,"$21,250.00","$425,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
OW2MWD0E,Brian King,9386,16982.0,,9387 Warehouse 3,shell,"""shell_garagem""",,Sale,$0.00,"$3,000.00",PAID OFF,8/2/2025 18:31:45,0,False,,,❌,❌,35,
,,Forum,17135.0,,Forum Drive Apartments #10,shell,"""k4_motel1_shell""",,Rent,$0.00,$800.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
A54VU1Y2,Jeremy Lancer,6059,17230.0,,6059 Kimble Hill Drive,shell,"""vinewood_housing3_k4mb1""",,Sale,"$175,000.00","$3,500,000.00","$3,325,000.00",9/14/2025 2:58:15,0,False,,,❌,❌,20,
,,7019,17257.0,,7019 Apartment C,shell,"""default_housing4_k4mb1""",,Sale,"$21,250.00","$425,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
ALB6ZKNQ,Logan Ward,6002,17328.0,,6002 North Rockford Drive,mlo,,,Sale,"$20,500.00","$2,400,000.00","$1,599,292.00",9/12/2025 23:34:50,0,False,,,❌,❌,5,
WK85542S,Scott Isaak,Sandy,17486.0,,Sandy Motel Rm#103,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$350.00,RENTAL PROPERTY,9/16/2025 2:41:44,0,False,,,❌,❌,5,
AI5D4UX3,Mikey Steyn,9185,17491.0,,9185 Jamestown Street Apartment A,shell,"""shell_v16mid""",,Sale,"$17,500.00","$350,000.00","$332,500.00",9/15/2025 18:19:29,0,False,,,❌,❌,20,
LILBX45N,Gorb R,4013,17527.0,,Grand Senora Desert Joshua Rd 695,shell,"""shell_trailer""",,Sale,"$4,500.00","$90,000.00",PAID OFF,9/16/2025 3:14:32,0,False,,,❌,❌,20,
OT5UN95N,Max Jefferson,7298,42383.0,,7298 Apartment B,shell,"""k4_motel1_shell""",,Sale,"$4,500.00","$90,000.00","$77,876.00",9/16/2025 1:44:53,0,False,,,❌,❌,20,
,,Roxwood,18156.0,,Roxwood Heights Room 110,shell,"""k4_motel2_shell""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
WYRB1Y29,Wesley Clark,3051,18312.0,,3051 House B,shell,"""shell_v16mid""",,Rent,$0.00,"$2,250.00",RENTAL PROPERTY,9/16/2025 11:59:32,0,False,,,❌,❌,5,
,,9108,18313.0,,9108 Davis Covenant Ave 825,shell,"""default_housing5_k4mb1""",,Sale,"$25,000.00","$500,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
F9TEOUIK,Twin Turbozs,3043,18465.0,,3043 Trailer A,shell,"""shell_trailer""",,Sale,"$4,500.00","$90,000.00",PAID OFF,9/5/2025 5:16:25,0,False,,,❌,❌,20,
,,7318,19204.0,,7318 Nikola Drive,mlo,,,Sale,"$42,805.00","$865,100.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
QUWX243G,Dante Veyra,Pink,19231.0,,Bucks Home,mlo,,,Rent,$0.00,$800.00,RENTAL PROPERTY,9/15/2025 4:22:10,0,False,,,❌,❌,5,
,,DC,19252.0,,dc hotel #301,shell,"""k4_hotel3_shell""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
ZN2OQ9EK,Raven Black,9025,19763.0,,9025 Warehouse,shell,"""shell_warehouse1""",,Rent,$0.00,"$2,000.00",RENTAL PROPERTY,9/16/2025 14:10:13,0,False,,,❌,❌,25,
,,1024,19778.0,,1024 Unit 8,shell,"""k4_motel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
OUS03572,Skip Larmer,7341,19816.0,,7341 Nikola Place,mlo,,,Sale,"$50,000.00","$1,000,000.00",PAID OFF,9/16/2025 3:01:31,0,False,,,❌,❌,5,
Q3V5TCFP,Delmira Rossi,6063,19865.0,,6063 Vinewood Hills,shell,"""deluxe_housing1_k4mb1""",,Sale,"$97,500.00","$1,950,000.00","$1,728,614.00",9/15/2025 4:21:41,0,False,,,❌,❌,20,
V7UZEZNL,Billy Buddz,3057,20059.0,,420 Peace Cloud Avenue,shell,"""shell_medium2""",,Sale,"$7,500.00","$150,000.00",PAID OFF,7/27/2025 19:25:06,0,False,,,❌,❌,10,
Y1D81S1G,Frank Gamble,2047,62957.0,,Grapeseed East Joshua Road 2047,shell,"""medium_housing2_k4mb1""",,Sale,"$10,000.00","$200,000.00",PAID OFF,8/31/2025 1:03:10,0,False,,,❌,❌,20,
P33Z8U37,Annabeth Kray,6028,20219.0,,6028 Richman Richman St 196,shell,"""manor_housing1_k4mb1""",,Sale,"$120,000.00","$2,400,000.00",PAID OFF,9/16/2025 6:40:33,0,False,,,❌,❌,20,
YBSM1031,Xing Chao,7296,20238.0,,East Vinewood Los Santos Freeway 402,shell,"""shell_garagem""",,Rent,$0.00,"$2,500.00",RENTAL PROPERTY,9/15/2025 8:57:59,0,False,,,❌,❌,20,
,,Sandy,20341.0,,Sandy Motel Rm#108,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$350.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,8131,20419.0,,8131 House A,mlo,,,Rent,$0.00,"$3,500.00",AVAILABLE,AVAILABLE,0,True,$10/month,$10,❌,❌,20,
G98S25Q6,Mason Woods,7023,20814.0,,7023 Apartment D,shell,"""default_housing4_k4mb1""",,Sale,"$21,250.00","$425,000.00",PAID OFF,9/15/2025 21:17:45,0,False,,,❌,❌,20,
,,1024,20930.0,,1024 Unit 9,shell,"""k4_motel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,Eastern,20970.0,,Eastern Motel Rm# 010,mlo,,,Rent,$0.00,$600.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,Roxwood,21014.0,,Roxwood Heights Room 103,shell,"""k4_motel2_shell""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,Itotaki Island,21338.0,,Itotaki Island,shell,"""k4mb1_basement1_shell""",,Rent,$0.00,"$3,500.00",AVAILABLE,AVAILABLE,0,True,$25/month,$25,❌,❌,20,
Y68NA381,Silas Skarvald,8048,21354.0,,8048 Warehouse,shell,"""shell_warehouse2""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/14/2025 22:49:59,0,False,,,❌,❌,20,
,,3051,21383.0,,3051 Trailor Rental,shell,"""shell_trailer""",,Rent,$0.00,"$2,250.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
FWC93543,Glory Reigns,7328,21534.0,,7328 East Mirror Drive,mlo,,,Sale,"$2,277.50","$45,550.00",PAID OFF,8/31/2025 2:44:33,0,False,,,❌,❌,5,
H1918BKR,curtis Jackson,3007,21699.0,,Sandy Shores Niland Ave 721,shell,"""medium_housing2_k4mb1""",,Sale,"$3,800.00","$76,000.00",PAID OFF,9/16/2025 8:22:55,0,False,,,❌,❌,20,
MPVWX7WE,kevin vella,788,21835.0,,788 Roxwood B,shell,"""shell_medium2""",,Rent,$0.00,"$3,000.00",RENTAL PROPERTY,9/16/2025 8:50:01,0,False,,,❌,❌,20,
KPDUSHXL,Christopher Mancuso,7062,13312.0,,7062 Rockford Hills,shell,"""manor_housing1_k4mb1""",,Sale,$0.00,"$2,400,000.00","$2,400,000.00",9/7/2025 18:44:01,0,False,,,❌,❌,20,
MPVWX7WE,kevin vella,7340,22011.0,,7340 Nikola Place 2,mlo,,,Sale,"$44,500.00","$890,000.00","$506,242.00",9/16/2025 8:50:01,0,False,,,❌,❌,20,
,,9076,22013.0,,9076 Clubhouse,mlo,,,Rent,$0.00,"$4,500.00",AVAILABLE,AVAILABLE,0,True,35$/Mo,$35.00,❌,❌,20,
,,9112,22132.0,,9112 Davis Covenant Ave 157,shell,"""default_housing5_k4mb1""",,Sale,"$25,000.00","$500,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,Del,22135.0,,del perro heights #204,shell,"""k4_hotel3_shell""",,Rent,$0.00,"$1,800.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
DRHAB7DI,Nazir Sterling,9038,22402.0,,9038 Mechanic & Parts Store,mlo,,,Rent,$0.00,"$8,000.00",RENTAL PROPERTY,9/16/2025 1:33:17,0,False,,,❌,❌,35,"autopart_9038, mechanic9038"
,,"7043, 7044, 7040, 7041, 7042, 7045, 7046",22416.0,,Playboy Mansion,shell,"""k4_mansion2_shell""",,Rent,"$5,000,000.00","$85,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
D63XG76H,Isaac Burg,7330,22504.0,,7330 Utopia Gardens B,mlo,,,Sale,"$48,500.00","$970,000.00",PAID OFF,9/16/2025 6:34:18,0,False,,,❌,❌,5,
KE9V39J1,Timothy Young,945,22555.0,,945 LTD & Gas,shell,"""shell_gunstore""",,Rent,$0.00,"$5,450.00",RENTAL PROPERTY,9/16/2025 5:32:12,0,False,,,❌,❌,10,"ltd_945, gas_945"
,,1024,22617.0,,1024 Unit 15,shell,"""k4_motel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
RE30MR39,Justice Mcknight,9063,22672.0,,9063 Lowenstein Blvd,shell,"""k4mb1_house1_shell""",,Sale,"$20,000.00","$400,000.00","$271,487.00",7/21/2025 20:52:12,0,False,,,❌,❌,20,
,,Eastern,22713.0,,Eastern Motel Rm# 001,mlo,,,Rent,$0.00,$600.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
LU366A0T,John Coors,7307,22833.0,,7307 West Mirror Drive,mlo,,,Sale,"$43,250.00","$865,000.00",PAID OFF,9/14/2025 21:36:40,0,False,,,❌,❌,5,
UMG1U95Z,Linny Tano,3032,22841.0,,3032 Garage,shell,"""new_garages3_k4mb1""",,Sale,"$6,250.00","$125,000.00",PAID OFF,9/15/2025 4:18:50,0,False,,,❌,❌,20,
,,Holokai Bay,23001.0,"(-4105.36, 5007.97, 5.87)",Holokai Bay,shell,"""k4mb1_basement4_shell""",,Rent,$0.00,"$6,000.00",AVAILABLE,AVAILABLE,0,True,$50/Mo,$50.00,❌,❌,50,
T528GP43,Tristan Cabinson,7345,23209.0,,7345 Warehouse,shell,"""shell_warehouse1""",,Rent,$0.00,"$6,000.00",RENTAL PROPERTY,9/16/2025 3:00:12,0,False,,,❌,❌,20,
L0443D5F,Quinn Jones,4013,23263.0,,4013 East Joshua Road Home,shell,"""default_housing4_k4mb1""",,Sale,"$6,500.00","$130,000.00",PAID OFF,9/16/2025 7:37:53,0,False,,,❌,❌,20,
VQ8KDOP0,Dick Dickinson,9033,23300.0,,9032 Gas,shell,"""shell_warehouse3""",,Rent,$0.00,"$4,000.00",RENTAL PROPERTY,9/16/2025 3:50:35,0,False,,,❌,❌,5,gas_9033
,,4009,67901.0,,4009 Home and Barn,mlo,,,Rent,$0.00,"$8,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,3037,23613.0,,3037 Flywheels Gas Station,shell,"""shell_store2""",,Rent,$425.00,"$4,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,10,gas_3037
,,9077 B,23720.0,,9077 Forum Drive B,shell,"""medium_housing1_k4mb1""",,Sale,"$15,000.00","$300,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,15,
,,1024,23853.0,,1024 Unit 7,shell,"""k4_motel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,DC,23963.0,,dc hotel #203,shell,"""k4_hotel2_shell""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,9116,24244.0,,9116 Roy Lowenstein Boulevard A,shell,"""medium_housing1_k4mb1""",,Sale,"$20,000.00","$400,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
O735A831,Doc Holiday,4013,24392.0,,4013 Joshua Road B,shell,"""medium_housing3_k4mb1""",,Sale,"$7,500.00","$150,000.00",PAID OFF,9/16/2025 5:42:15,0,False,,,❌,❌,20,
,,Sandy,24408.0,,Sandy Motel Rm#120,mlo,,cfx_gn_sandy_motel,Rent,$0.00,$350.00,AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,
,,6017,24593.0,, 6017 Richman North Rockford Dr 665,shell,"""shell_highendv2""",,Sale,"$105,000.00","$2,100,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,8229,24809.0,,8229 Apartment A,shell,"""furnitured_lowapart""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,8120,24895.0,,8120 House B,mlo,,,Rent,$0.00,"$3,500.00",AVAILABLE,AVAILABLE,0,True,$10/month,$10,❌,❌,20,
,,902,24906.0,,902 house Roxwood State Park  276,shell,"""shell_medium2""",,Sale,"$40,000.00","$800,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,9113,25309.0,,9113 Davis Covenant Ave 485,shell,"""default_housing5_k4mb1""",,Sale,"$25,000.00","$500,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
I3L679NA,tray varlack,9101,25359.0,,9101 Grove Street House A,mlo,,,Sale,"$33,495.00","$669,900.00",PAID OFF,9/15/2025 12:00:12,0,False,,,❌,❌,5,
A05CU464,John Holler,8223,25472.0,,La Puerta Melanoma St 673,shell,"""classichouse_shell""",,Sale,"$6,750.00","$135,000.00",PAID OFF,9/15/2025 8:37:32,0,False,,,❌,❌,20,
VQ8KDOP0,Dick Dickinson,9107 A,25624.0,,9107 Grove Street A,mlo,,,Sale,"$20,750.00","$415,000.00","$344,975.00",9/16/2025 3:50:35,0,False,,,❌,❌,10,
,,9082,25659.0,,9082 Apartment 3,shell,"""shell_v16low""",,Rent,$0.00,"$1,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,8221,25775.0,,Vespucci Beach Magellan Ave 546,shell,"""shell_coke1""",,Rent,$0.00,"$2,500.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
,,6185,25823.0,,6185 Tequilala (Bar),mlo,,,Rent,$0.00,"$5,200.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,5,bar_6185
U58I1I0R,Leilani Luciano,8197,26189.0,,8197 Mechanic,mlo,,,Rent,$0.00,"$5,000.00",RENTAL PROPERTY,9/16/2025 3:34:42,0,False,,,❌,❌,35,"autopart_8197, mechanic8197"
,,9279,26276.0,,9279 Warehouse C,shell,"""shell_warehouse1""",,Rent,$0.00,"$2,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,15,
,,3009,26278.0,,Sandy Shores Algonquin Blvd 103,shell,"""medium_housing1_k4mb1""",,Sale,"$13,750.00","$275,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
N14Q0XFD,Brandon Chavis,3023,38713.0,,3023 Marina Dr House A,shell,"""k4mb1_sandyhouse1_shell""",,Sale,"$12,500.00","$250,000.00",PAID OFF,9/15/2025 17:51:49,0,False,,,❌,❌,20,
,,3045,26593.0,,Grand Senora Desert Route 68 Trailer A,shell,"""shell_trailer""",,Sale,"$4,500.00","$90,000.00",AVAILABLE,AVAILABLE,0,False,,,❌,❌,20,
QV6GW7F7,Candy Buccanan,8140,26637.0,,8140 Ammunation,mlo,,,Rent,$0.00,"$5,500.00",RENTAL PROPERTY,9/16/2025 4:11:57,0,False,,,❌,❌,20,ammunation_8140
